ADDRESS,RA_REGNO,RDEALER_NM,CMP_NM,TELNO
서울특별시 은평구 진흥로5길 4 (역촌동),다92340000-3128,구범,신화공인중개사사무소,359-1216
서울특별시 은평구 진흥로9길 8-18 (역촌동),다92340000-3132,김영희,예스공인중개사사무소,386-5566
서울특별시 은평구 불광로22길 28-13 (불광동),다92340000-3517,최순이,대용공인중개사사무소,02-385-8760
서울특별시 은평구 진흥로1길 54 1층 좌측 (역촌동),다92340000-3531,임진영,대지공인중개사사무소,02-355-4401
서울특별시 은평구 진흥로1길 24 (역촌동),다92340000-3533,서용수,현대공인중개사사무소,382-5050
