SGG_NM,BJDONG_NM,FLR_NO,CNTRCT_DE,RENT_GBN,RENT_AREA,RENT_GTN,RENT_FEE,BLDG_NM,BUILD_YEAR,HOUSE_GBN_NM
양천구,목동,5.0,20231020,전세,48.12,14000,0,성원파크빌,2002,연립다세대
송파구,거여동,7.0,20231020,월세,39.76,3903,25,위례포레샤인13단지,2020,아파트
도봉구,도봉동,5.0,20231020,전세,67.02,35000,0,대동드림빌,2022,연립다세대
마포구,성산동,7.0,20231020,전세,50.54,30000,0,성산시영(선경),1986,아파트
송파구,잠실동,7.0,20231020,월세,59.96,50000,160,잠실엘스,2008,아파트
광진구,화양동,5.0,20231020,전세,19.52,13200,0,IRIS,2012,연립다세대
강동구,명일동,1.0,20231020,전세,66.87,31970,0,삼익그린2차,1983,아파트
노원구,월계동,16.0,20231020,전세,84.99,54000,0,월계센트럴아이파크,2020,아파트
동작구,상도1동,4.0,20231020,월세,13.26,3000,42,J+CRESIDENCE,2012,연립다세대
성동구,마장동,6.0,20231020,전세,84.93,34600,0,세림,1986,아파트
동작구,신대방동,11.0,20231020,전세,127.02,65000,0,우성1,1988,아파트
금천구,가산동,5.0,20231020,전세,29.75,23000,0,G밸리 노블루체 스위트,2020,오피스텔
마포구,신수동,3.0,20231020,전세,57.44,50000,0,세양청마루,2003,아파트
동작구,신대방동,20.0,20231020,월세,127.02,35000,100,우성1,1988,아파트
광진구,군자동,2.0,20231020,월세,39.45,19800,5,로마네스크5,2009,연립다세대
강남구,수서동,11.0,20231020,전세,49.96,35000,0,신동아,1992,아파트
성동구,옥수동,7.0,20231020,월세,63.13,20000,80,현대,1990,아파트
은평구,신사동,7.0,20231020,전세,83.27,29000,0,미성,1987,아파트
마포구,용강동,3.0,20231020,전세,27.53,22400,0,블루하우스,2015,연립다세대
노원구,월계동,19.0,20231020,전세,84.99,51000,0,월계센트럴아이파크,2020,아파트
강남구,일원동,2.0,20231020,전세,84.99,125000,0,래미안 개포 루체하임,2018,아파트
마포구,창전동,12.0,20231020,전세,84.99,75000,0,서강예가,2007,아파트
송파구,신천동,26.0,20231020,전세,59.86,82000,0,파크리오,2008,아파트
서초구,반포동,6.0,20231020,전세,59.96,120000,0,래미안원베일리,2023,아파트
구로구,개봉동,7.0,20231020,월세,74.94,15495,66,센트레빌레우스1단지,2020,아파트
마포구,신수동,1.0,20231020,전세,84.85,50000,0,현대,1996,아파트
노원구,중계동,8.0,20231020,전세,101.85,60000,0,라이프,1993,아파트
성북구,종암동,2.0,20231020,월세,14.74,1000,45,야베스원,2011,연립다세대
중구,흥인동,4.0,20231020,월세,146.97,55700,260,청계천두산위브더제니스,2014,아파트
강서구,화곡동,5.0,20231020,월세,14.91,7700,5,라인씨티,2014,아파트
송파구,마천동,7.0,20231020,월세,59.91,8933,14,송파파크데일1단지,2011,아파트
강동구,성내동,3.0,20231020,전세,59.96,45000,0,코오롱(1차),1999,아파트
마포구,성산동,14.0,20231020,월세,20.74,3200,60,벽산상암스마트큐브,2017,오피스텔
금천구,시흥동,7.0,20231020,전세,29.55,16300,0,세진파크,2017,연립다세대
은평구,구산동,2.0,20231020,월세,62.3,10000,45,이노컨스빌104,2002,연립다세대
서초구,반포동,3.0,20231020,월세,59.96,38640,17,래미안원베일리,2023,아파트
은평구,진관동,7.0,20231020,월세,59.92,5820,40,상림마을6단지푸르지오(601~605동)BL1-8,2008,아파트
성동구,금호동1가,9.0,20231020,전세,59.98,73000,0,이편한세상금호파크힐스,2019,아파트
서대문구,대신동,3.0,20231020,전세,29.78,24400,0,모두가,2018,연립다세대
은평구,녹번동,7.0,20231020,월세,40.93,2987,17,북한산푸르지오,2015,아파트
구로구,고척동,15.0,20231020,전세,59.94,31000,0,청구,1999,아파트
송파구,풍납동,4.0,20231020,전세,84.93,23000,0,무명,2002,연립다세대
송파구,삼전동,2.0,20231020,월세,20.17,18500,10,승빈빌딩,2019,연립다세대
송파구,가락동,2.0,20231020,전세,16.75,13500,0,천광파인빌,2018,연립다세대
노원구,상계동,7.0,20231020,전세,51.66,23000,0,두산,1994,아파트
마포구,합정동,3.0,20231020,전세,27.69,33300,0,아스테리온,2022,연립다세대
동대문구,장안동,6.0,20231020,전세,84.97,47000,0,현대홈타운2차,2005,아파트
송파구,잠실동,16.0,20231020,전세,124.22,190000,0,리센츠,2008,아파트
광진구,중곡동,5.0,20231020,전세,22.43,22000,0,아스하임,2017,연립다세대
강서구,방화동,4.0,20231020,월세,21.99,1000,40,천문(612-227),2010,연립다세대
송파구,잠실동,20.0,20231020,월세,84.99,40000,260,리센츠,2008,아파트
송파구,석촌동,11.0,20231020,전세,15.83,23000,0,석촌호수효성해링턴타워,2015,아파트
성북구,돈암동,16.0,20231020,월세,113.67,5250,190,한진(609-1),1998,아파트
송파구,잠실동,19.0,20231020,월세,84.99,50000,210,리센츠,2008,아파트
송파구,석촌동,2.0,20231020,전세,42.12,20800,0,아트하우스,2002,연립다세대
성북구,성북동1가,5.0,20231020,월세,43.08,18000,18,정승빌리지,2002,연립다세대
강남구,일원동,19.0,20231020,전세,63.76,100000,0,디에이치자이개포,2021,아파트
강서구,가양동,3.0,20231020,월세,72.99,10000,50,제이드아트빌,2002,연립다세대
강서구,내발산동,10.0,20231020,전세,59.84,11650,0,마곡수명산파크2단지,2007,아파트
구로구,천왕동,4.0,20231020,월세,59.97,11978,17,천왕연지타운1단지,2013,아파트
서초구,반포동,6.0,20231020,월세,168.65,200000,300,래미안퍼스티지,2009,아파트
중랑구,신내동,14.0,20231020,월세,27.79,6000,50,베네스트로프트(BENEST LOFT),2021,오피스텔
동작구,상도동,11.0,20231020,월세,114.97,15000,270,래미안상도3차,2004,아파트
강서구,등촌동,12.0,20231020,월세,20.97,3000,150,디앤써밋모이다,2022,연립다세대
강서구,마곡동,16.0,20231020,전세,84.93,28977,0,마곡엠벨리(14단지),2014,아파트
강동구,고덕동,2.0,20231020,전세,59.23,37500,0,래미안힐스테이트고덕,2016,아파트
강서구,화곡동,3.0,20231020,전세,41.36,17500,0,혜성펠리스(811-8),2011,연립다세대
양천구,신정동,19.0,20231020,전세,101.91,80000,0,목동현대3차,1997,아파트
용산구,산천동,19.0,20231020,전세,114.48,73000,0,리버힐삼성,2001,아파트
강동구,고덕동,30.0,20231020,전세,84.83,69500,0,래미안힐스테이트고덕,2016,아파트
영등포구,영등포동,14.0,20231020,전세,30.71,40000,0,라르파크,2021,아파트
영등포구,영등포동,14.0,20231020,전세,30.71,40000,0,라르파크,2021,아파트
구로구,신도림동,16.0,20231020,전세,29.99,28500,0,힐스테이트 신도림역 센트럴,2023,오피스텔
은평구,응암동,6.0,20231020,전세,84.59,45000,0,백련산힐스테이트2차,2011,아파트
은평구,대조동,14.0,20231020,월세,17.73,8500,30,베르디움STAY1,2022,아파트
서초구,양재동,2.0,20231020,월세,28.28,17000,8,良才舍廊,2015,연립다세대
서초구,반포동,11.0,20231020,전세,84.98,155000,0,래미안원베일리,2023,아파트
송파구,문정동,3.0,20231020,월세,120.97,20000,220,문정래미안,2004,아파트
관악구,남현동,3.0,20231020,월세,72.12,30000,40,힐하우스,2007,연립다세대
서초구,반포동,20.0,20231020,월세,84.97,42000,290,반포리체,2010,아파트
강동구,암사동,14.0,20231020,전세,84.98,70000,0,롯데캐슬퍼스트,2008,아파트
마포구,아현동,3.0,20231020,월세,32.42,4000,60,마포 에스케이 허브 블루,2006,오피스텔
구로구,신도림동,10.0,20231020,월세,18.15,1000,80,힐스테이트 신도림역 센트럴,2023,오피스텔
동작구,대방동,4.0,20231020,월세,17.32,100,36,보라매센트럴타운,2021,아파트
중랑구,면목동,3.0,20231020,전세,29.14,23000,0,베아트리스,2020,연립다세대
은평구,진관동,4.0,20231020,월세,49.01,4316,29,마고정3단지센트레빌(323~335동)BL2-2,2009,아파트
서대문구,대현동,1.0,20231020,월세,83.38,5000,120,럭키대현,1999,아파트
서대문구,대현동,6.0,20231020,전세,83.38,50000,0,럭키대현,1999,아파트
마포구,성산동,9.0,20231020,전세,17.02,20000,0,마포상암시티프라디움리버,2021,오피스텔
영등포구,신길동,1.0,20231020,전세,20.41,13000,0,리치빌,2011,연립다세대
강남구,대치동,20.0,20231020,전세,114.15,255000,0,래미안대치팰리스,2015,아파트
영등포구,신길동,1.0,20231020,전세,20.41,13000,0,리치빌,2011,연립다세대
관악구,남현동,6.0,20231020,월세,16.83,3000,35,드림뷰오피스텔,2004,오피스텔
마포구,대흥동,5.0,20231020,월세,59.4,30000,100,마포태영,1999,아파트
중랑구,묵동,2.0,20231020,전세,18.59,12500,0,묵동포레시타,2013,아파트
중랑구,묵동,2.0,20231020,전세,18.59,12500,0,묵동포레시타,2013,아파트
강남구,역삼동,18.0,20231020,전세,84.87,119000,0,래미안그레이튼(진달래2차),2010,아파트
동작구,사당동,8.0,20231020,월세,12.44,10000,19,라온시티,2014,아파트
양천구,신정동,13.0,20231020,전세,106.93,75000,0,목동신시가지9,1987,아파트
중구,황학동,10.0,20231020,전세,84.89,50000,0,롯데캐슬,2008,아파트
동대문구,장안동,8.0,20231020,월세,59.9,7570,20,동트리움비동,2022,연립다세대
양천구,신정동,4.0,20231020,월세,39.45,16000,10,메이플빌리지,2008,연립다세대
은평구,응암동,18.0,20231020,월세,40.65,2700,16,백련산에스케이뷰아이파크,2020,아파트
영등포구,여의도동,11.0,20231020,전세,101.29,70000,0,미성,1978,아파트
강남구,자곡동,4.0,20231020,전세,59.97,35250,0,래미안포레,2014,아파트
동대문구,청량리동,6.0,20231020,전세,21.2,24000,0,힐스테이트 청량리역,2023,오피스텔
강서구,마곡동,9.0,20231020,월세,21.5,1000,75,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,2017,오피스텔
중랑구,상봉동,3.0,20231020,전세,35.54,22000,0,황금하우스,2017,연립다세대
송파구,잠실동,16.0,20231020,전세,47.87,32000,0,	(176-8)	,2012,오피스텔
중랑구,상봉동,5.0,20231020,월세,41.05,9500,30,황금하이츠,2016,연립다세대
은평구,역촌동,8.0,20231020,전세,29.6,23500,0,(1-12),2023,오피스텔
송파구,송파동,4.0,20231020,월세,43.64,507,59,(139-12),2018,연립다세대
용산구,이태원동,1.0,20231020,전세,28.94,8000,0,(227-23),2012,연립다세대
송파구,송파동,3.0,20231020,월세,43.64,507,78,(139-12),2018,연립다세대
중구,황학동,14.0,20231020,전세,23.06,16000,0,황학동 복합시설(DUO302),2014,오피스텔
용산구,한강로1가,2.0,20231020,전세,14.52,16000,0,(216-15),2016,연립다세대
성동구,성수동2가,6.0,20231020,전세,39.78,26985,0,(299-134),2017,오피스텔
송파구,삼전동,5.0,20231020,월세,38.97,8000,32,(119-19),2005,연립다세대
강서구,화곡동,3.0,20231020,전세,44.76,12300,0,화성빌라B동(56-324),2001,연립다세대
송파구,삼전동,3.0,20231020,월세,32.38,15000,11,(177-3),2002,연립다세대
송파구,송파동,2.0,20231020,전세,29.44,21000,0,(95-61),2017,연립다세대
은평구,불광동,4.0,20231020,전세,25.78,14500,0,호안빌,2016,연립다세대
강서구,화곡동,4.0,20231020,전세,40.92,14000,0,황제그랜드파크,2008,연립다세대
강서구,화곡동,5.0,20231020,전세,25.41,25000,0,화곡 이레타워벨리스,2023,오피스텔
