SGG_NM,BJDONG_NM,FLR_NO,CNTRCT_DE,RENT_GBN,RENT_AREA,RENT_GTN,RENT_FEE,BLDG_NM,BUILD_YEAR,HOUSE_GBN_NM
영등포구,영등포동7가,5.0,20231020,전세,17.1,13300,0,청호오피스텔,2008,오피스텔
성동구,응봉동,15.0,20231020,전세,75.51,36700,0,대림(1차),1986,아파트
노원구,상계동,14.0,20231020,전세,84.2,32000,0,상계주공4(고층),1988,아파트
강동구,암사동,3.0,20231020,전세,14.4,13000,0,489해마루,2019,연립다세대
용산구,용문동,2.0,20231020,월세,13.53,1000,48,한강타운,2013,연립다세대
성북구,장위동,19.0,20231020,전세,59.1,54000,0,꿈의숲아이파크,2022,아파트
마포구,성산동,4.0,20231020,전세,59.43,31970,0,성산시영(유원),1986,아파트
성동구,하왕십리동,5.0,20231020,월세,36.94,10000,132,(890-84),2022,연립다세대
은평구,대조동,3.0,20231020,전세,53.08,30000,0,하나블루힐스,2019,연립다세대
강서구,공항동,7.0,20231020,전세,84.99,53000,0,공항동부센트레빌,2009,아파트
노원구,상계동,13.0,20231020,전세,59.2,26000,0,상계주공3(고층),1987,아파트
영등포구,문래동1가,8.0,20231020,전세,26.95,28000,0,2030센터뷰,2023,연립다세대
송파구,신천동,31.0,20231020,전세,84.9,92000,0,파크리오,2008,아파트
서초구,우면동,5.0,20231020,월세,59.79,3337,53,네이처힐가든,2011,연립다세대
강동구,천호동,2.0,20231020,월세,29.07,3000,90,아스하임,2023,연립다세대
은평구,수색동,10.0,20231020,전세,59.99,60000,0,DMCSKVIEW,2021,아파트
중랑구,신내동,3.0,20231020,월세,31.85,5670,19,우디안4단지,2018,아파트
서대문구,홍제동,21.0,20231020,월세,84.71,30000,50,남양,1999,아파트
강동구,성내동,4.0,20231020,월세,50.1,2399,61,삼화에코빌,2020,연립다세대
서대문구,북가좌동,1.0,20231020,전세,65.34,27000,0,DMC한양,1987,아파트
강남구,대치동,7.0,20231020,월세,84.43,35000,135,은마,1979,아파트
강동구,성내동,9.0,20231020,전세,15.99,19950,0,더존예가D,2019,연립다세대
성북구,종암동,7.0,20231020,전세,59.99,36750,0,삼성래미안,2004,아파트
양천구,목동,-1.0,20231020,전세,48.92,10000,0,(545-33),1987,연립다세대
강동구,성내동,4.0,20231020,월세,35.68,5640,22,엘림하우스(503-5),2021,연립다세대
영등포구,당산동,11.0,20231020,월세,29.31,8000,35,노들리안 오피스텔1,2011,오피스텔
강북구,수유동,6.0,20231020,월세,17.54,1000,74,에피소드수유838,2021,아파트
서대문구,남가좌동,12.0,20231020,월세,84.97,40000,110,DMC파크뷰자이2단지,2015,아파트
강동구,암사동,2.0,20231020,전세,63.73,24000,0,지니하우스,2004,연립다세대
도봉구,쌍문동,14.0,20231020,전세,69.82,33000,0,금호2,1991,아파트
동작구,사당동,10.0,20231020,전세,59.89,47000,0,사당우성2,1993,아파트
송파구,오금동,3.0,20231020,월세,29.85,5000,120,(71-9),2023,연립다세대
송파구,잠실동,6.0,20231020,월세,82.51,30000,55,주공아파트 5단지,1978,아파트
서초구,우면동,3.0,20231020,월세,59.79,9313,35,네이처힐가든,2011,연립다세대
강서구,화곡동,13.0,20231020,월세,23.0,3000,65,쌍떼포레,2021,오피스텔
종로구,원서동,2.0,20231020,전세,19.84,14000,0,(86-20),1997,연립다세대
송파구,풍납동,10.0,20231020,전세,84.99,95000,0,잠실올림픽공원아이파크,2019,아파트
강서구,화곡동,3.0,20231020,전세,29.91,16250,0,도원솔비치,2015,연립다세대
강서구,화곡동,4.0,20231020,전세,17.73,14000,0,아델리아Ⅳ,2012,아파트
송파구,송파동,4.0,20231020,월세,34.55,1000,73,(85-10),2003,연립다세대
노원구,중계동,5.0,20231020,전세,84.99,45000,0,현대1(4차),1993,아파트
강동구,고덕동,18.0,20231020,전세,59.03,46300,0,고덕그라시움,2019,아파트
마포구,망원동,2.0,20231020,전세,58.23,24000,0,선궁연립,1995,연립다세대
서대문구,홍은동,1.0,20231020,전세,32.43,6000,0,(8-694),1992,연립다세대
금천구,가산동,10.0,20231020,전세,18.54,18000,0,지밸리마인드3차,2021,오피스텔
성동구,행당동,9.0,20231020,전세,114.94,80000,0,대림e-편한세상,2000,아파트
금천구,시흥동,2.0,20231020,전세,57.37,16000,0,쉼터빌리지나동,2002,연립다세대
용산구,이태원동,1.0,20231020,전세,26.95,26000,0,THE-Y198,2023,연립다세대
용산구,문배동,19.0,20231020,전세,13.01,18700,0,용산큐브,2013,아파트
서대문구,충정로3가,21.0,20231020,월세,16.06,4870,31,더스타일하우스디센트럴,2020,아파트
중구,황학동,9.0,20231020,월세,26.28,25000,9,소미골드라인(101동),2019,연립다세대
송파구,잠실동,3.0,20231020,월세,47.02,18000,1,태성빌,2002,연립다세대
노원구,공릉동,12.0,20231020,전세,84.93,42000,0,공릉동한보에센시티아파트,2000,아파트
강동구,성내동,4.0,20231020,월세,46.35,7919,22,삼화에코빌,2020,연립다세대
강서구,화곡동,3.0,20231020,전세,84.99,79000,0,우장산숲아이파크,2022,아파트
종로구,사직동,5.0,20231020,전세,144.52,130000,0,광화문스페이스본(106동),2008,아파트
송파구,장지동,7.0,20231020,월세,49.93,4376,29,송파파인타운10단지,2007,아파트
영등포구,신길동,5.0,20231020,전세,55.9,25000,0,우창,1983,아파트
성북구,길음동,3.0,20231020,월세,84.97,10000,97,길음뉴타운2단지푸르지오,2005,아파트
영등포구,문래동3가,5.0,20231020,월세,25.97,23000,13,세종에버그린,2017,연립다세대
구로구,구로동,6.0,20231020,전세,47.11,17000,0,유명빌딩,2004,연립다세대
동대문구,전농동,4.0,20231020,전세,29.32,25000,0,더하이브,2022,연립다세대
동대문구,답십리동,5.0,20231020,전세,35.65,25000,0,스타클래스,2019,오피스텔
송파구,잠실동,1.0,20231020,월세,76.5,5000,150,주공아파트 5단지,1978,아파트
마포구,대흥동,7.0,20231020,전세,60.0,50000,0,대흥동세양,2000,아파트
은평구,역촌동,1.0,20231020,전세,37.74,12600,0,신도가든빌라,1993,연립다세대
송파구,잠실동,5.0,20231020,월세,76.5,21000,60,주공아파트 5단지,1978,아파트
송파구,풍납동,13.0,20231020,전세,79.95,55000,0,극동,1987,아파트
구로구,개봉동,3.0,20231020,전세,29.91,25000,0,에코그로브빌리지10차201동,2023,연립다세대
강남구,압구정동,4.0,20231020,전세,161.18,120000,0,"현대1차(12,13,21,22,31,32,33동)",1976,아파트
강남구,도곡동,9.0,20231020,월세,59.98,45000,160,도곡렉슬,2006,아파트
동대문구,이문동,3.0,20231020,전세,84.89,42000,0,쌍용,2000,아파트
서초구,반포동,4.0,20231020,전세,61.5,30000,0,이든빌,2010,연립다세대
성북구,장위동,28.0,20231020,전세,84.71,42000,0,꿈의숲코오롱하늘채,2017,아파트
마포구,성산동,3.0,20231020,전세,50.03,26000,0,성산시영(대우),1986,아파트
송파구,가락동,20.0,20231020,월세,25.32,2000,70,한화오벨리스크,2004,아파트
송파구,풍납동,6.0,20231020,월세,58.11,37000,20,극동,1987,아파트
서초구,잠원동,7.0,20231020,월세,93.71,20000,150,신반포2,1978,아파트
송파구,가락동,20.0,20231020,월세,39.17,14408,19,헬리오시티,2018,아파트
중구,흥인동,10.0,20231020,월세,15.55,1000,65,동대문와이즈캐슬,2014,아파트
동작구,사당동,4.0,20231020,전세,47.23,22000,0,에버힐,2007,연립다세대
강동구,천호동,2.0,20231020,전세,23.0,17325,0,예가풍경채,2017,연립다세대
