BJDONG_NM,ADDRESS,RA_REGNO,CMP_NM,위도,경도
역삼동,서울특별시 강남구 테헤란로52길 16,9253-9176,하나공인중개사사무소,37.5025006142352,127.046384009751
역삼동,서울특별시 강남구 테헤란로4길 6,11680-2015-00053,더힐공인중개사사무소,37.4976674173806,127.029286360295
역삼동,서울특별시 강남구 언주로 427,11680-2015-00068,디오빌공인중개사사무소,37.5014764820153,127.042690475293
역삼동,서울특별시 강남구 역삼로 171,11680-2015-00073,타워공인중개사사무소,37.4956539271268,127.037881809178
삼성동,서울특별시 강남구 삼성로119길 39,11680-2015-00079,에버리치공인중개사사무소,37.51525588758,127.048355538197
역삼동,서울특별시 강남구 역삼로 315,11680-2015-00082,SK공인중개사사무소,37.5005551755633,127.050314621923
개포동,서울특별시 강남구 논현로8길 8,11680-2015-00101,경기공인중개사사무소,37.4737254633378,127.049762695956
삼성동,서울특별시 강남구 테헤란로63길 12,11680-2015-00103,휴먼공인중개사사무소,37.5061147390354,127.050947634813
개포동,서울특별시 강남구 언주로 110,11680-2015-00108,제일공인중개사사무소,37.4854059409863,127.054710026842
율현동,서울특별시 강남구 밤고개로24길 46,11680-2016-00524,강남탑공인중개사사무소,37.4716378024945,127.105783147414
역삼동,서울특별시 강남구 역삼로 310,11680-2016-00528,다온공인중개사사무소,37.4992355425931,127.048420861876
대치동,서울특별시 강남구 남부순환로 2917,11680-2016-00533,스마트공인중개사사무소,37.4931666957307,127.059164905458
논현동,서울특별시 강남구 강남대로116길 26,11680-2016-00544,현대공인중개사사무소,37.5065471115197,127.026164437392
일원동,서울특별시 강남구 개포로110길 15,11680-2016-00545,진솔공인중개사사무소,37.4932437695434,127.079114775367
역삼동,서울특별시 강남구 테헤란로10길 25,11680-2016-00547,맥공인중개사사무소,37.4975892274124,127.032981074946
대치동,서울특별시 강남구 선릉로 420,11680-2016-00558,마당공인중개사사무소,37.5024968609524,127.050272610094
역삼동,서울특별시 강남구 논현로 543,11680-2016-00562,원앤원공인중개사사무소,37.5047574844172,127.034747520126
도곡동,서울특별시 강남구 선릉로 225,11680-2016-00568,하나공인중개사사무소,37.4953648706654,127.052720025644
장지동,서울특별시 송파구 충민로2길 24,11710-2021-00062,114부자부동산공인중개사사무소,37.4776438114231,127.127283305984
거여동,서울특별시 송파구 거마로2길 14,11710-2021-00063,한양공인중개사사무소,37.4933065495988,127.14614303639
신천동,서울특별시 송파구 올림픽로35길 112,9252-0410,21세기공인중개사사무소,37.5178827571707,127.101802779596
풍납동,서울특별시 송파구 한가람로16길 7,9253-5677,참조은(02-475-6006)공인중개사사무소,37.5370479077108,127.115658827837
문정동,서울특별시 송파구 새말로 155,11710-2021-00052,중앙공인중개사사무소,37.4847655114219,127.130550234522
잠실동,서울특별시 송파구 백제고분로18길 5,11710-2021-00001,비둘기공인중개사사무소,37.5045998857116,127.084931097266
석촌동,서울특별시 송파구 삼학사로 32,11710-2021-00005,보아스공인중개사사무소,37.5000797889479,127.097011421757
방이동,서울특별시 송파구 올림픽로 350,11710-2021-00033,도원부동산중개사무소,37.5160249613599,127.10928386151
방이동,서울특별시 송파구 오금로15길 16,11710-2021-00008,성공공인중개사사무소,37.5130158056097,127.109849770376
방이동,서울특별시 송파구 위례성대로2길 13,11710-2021-00082,S&H공인중개사사무소,37.5157685246044,127.11331179352
거여동,서울특별시 송파구 거마로2길 3-23,11710-2021-00012,미소공인중개사사무소,37.4944976077031,127.145544669712
거여동,서울특별시 송파구 오금로 551,11710-2021-00013,e편한애플부동산공인중개사사무소,37.4931824051771,127.150367774224
거여동,서울특별시 송파구 오금로 551,11710-2021-00014,아람공인중개사사무소,37.4931824051771,127.150367774224
석촌동,서울특별시 송파구 백제고분로40길 36,11710-2021-00007,신화공인중개사사무소,37.5017582414529,127.10775486675
